"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69"
"位於",0.00444456385859328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213585985426844,0,0,0,0,0,0,0
"低頭",0.01802793226213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"投稿",0.0109455303020075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"見",0.0199716765593932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011307493346127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"來看",0.00480395425047609,0,0,0,0,0.00623012816858617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324169270560581,0,0,0,0,0,0,0,0,0,0.00805511520786899,0.00781820005469638,0,0,0,0,0,0,0.00774229519979641,0,0.0103565766958316,0.00573709644301461,0,0,0,0.00681586671435069,0,0,0,0,0,0,0,0,0,0,0,0.00681586671435069,0,0,0,0,0,0,0,0,0,0,0,0.00857480005998957
"到",0.00420171168025995,0,0.00261077230618094,0,0.00731726659963638,0,0,0.00320130413734092,0.00698466357238018,0,0,0,0.00233834389162293,0,0,0,0,0,0,0,0,0.00389723981937155,0,0,0,0,0,0,0.00532494153537895,0,0.00320130413734092,0,0,0,0,0,0.00537819095073274,0,0.00463637150925236,0,0,0.00943542272058376,0,0.00512208661974547,0.00389723981937155,0,0,0,0.00261077230618094,0,0.00365863329981819,0,0,0,0,0,0,0.00672273868841593,0,0,0.0113225072647005,0,0.00625371040782877,0,0.00943542272058376,0,0,0,0
"呢",0.00853933547112952,0,0.00273349098414464,0,0,0.00416636932260755,0,0,0,0,0,0,0,0.00532608037116841,0,0,0,0.00449243300872466,0,0,0,0,0,0.00426966773556476,0.00342138937750554,0,0.00538156037503475,0.00759749700004906,0,0,0,0,0,0,0,0.00270486804190228,0.00532608037116841,0.00149314969943161,0,0,0,0.00311222768676708,0.00445370513795979,0,0,0.00379874850002453,0,0,0,0,0,0,0.00358770691668983,0,0,0,0.00434142685717089,0,0,0,0.00149314969943161,0,0,0.00449243300872466,0,0,0.0109921233192199,0,0.00379874850002453
"朋友",0.0199716765593932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163597776071625,0,0
"東里",0.0106909830856817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"東部",0.0427171970853687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00822363152445601,0,0,0,0,0,0,0
"的",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"花蓮",0.0193563062182869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"青秧",0.011638285384413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"便",0.0149640421540395,0,0,0,0,0,0,0,0,0.0184017275137513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176847770911376,0,0,0,0,0,0,0,0
"是",0.00099699337455179,0,0,0.00203347163522444,0.00494893096765467,0.00244500756140082,0.0106691239042945,0,0.00163000504093388,0,0,0,0,0.00354104543375291,0,0.00277541398861715,0,0,0.00195600604912066,0,0.00230764758604122,0.00320907242433857,0,0.00199398674910358,0.000916877835525307,0,0.00610041490567333,0,0.00244500756140082,0.00533456195214724,0.0021619014227123,0,0,0,0.00205380635157669,0.00432380284542461,0.00177052271687645,0.00238814692043801,0.00555082797723429,0.00360316903785384,0.00419144153382997,0.00195600604912066,0.00297653094431404,0.00461529517208244,0.00160453621216929,0,0,0.000916877835525307,0.00139714717794332,0.00203347163522444,0,0.00244500756140082,0,0.0021619014227123,0,0.00513451587894172,0.000892959283294212,0,0.00432380284542461,0.00177052271687645,0,0.00555082797723429,0.0108095071135615,0,0.00195600604912066,0,0.00230764758604122,0.00160453621216929,0.00154421530193736
"活動",0.00366519076750803,0.00721584432353143,0,0.00558646012144369,0,0,0.0037043906687648,0,0.0058211853366304,0,0,0.00714145417586616,0,0,0,0,0.00417301840396998,0,0.00736937292615976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424982242367495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058211853366304,0.00477738658661391,0,0,0,0,0,0.00602366134833928,0,0,0,0,0.0050935371695516,0.00572496739718196,0
"皇米",0.0168701751443785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"要收",0.0322605103638115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"們",0.00563710303461031,0,0,0,0,0,0.00619708015725372,0,0,0,0,0,0,0,0.00592252597307159,0,0,0,0,0,0,0,0,0,0,0,0,0.00688058164518611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623839402496875,0,0,0,0,0,0,0,0.00649832710934244,0,0,0.00592252597307159,0,0,0,0.00964700106953929,0,0,0,0
"原來",0.00632269664692778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102830670741243,0,0,0,0,0,0,0,0,0,0,0.00995488408239693,0,0,0,0,0,0,0,0,0,0,0,0.0102830670741243,0,0,0,0.00945211215904355,0,0,0,0,0,0,0,0,0,0.012152715633056,0,0,0,0.00828105401544524,0,0,0,0,0,0,0,0,0,0,0.00683035842149862,0,0
"原鄉",0.0229856136342157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"能",0.00479292961245493,0.00545791722884266,0,0.00200859766995944,0.00213182452087719,0,0,0,0,0,0.00231658264601988,0.00511010877798504,0,0.0023012410390926,0,0,0,0.00280231771695954,0.00241310692293738,0.00451282333640237,0,0.00659786196651233,0.00876018647654578,0.00239646480622747,0.00181930574294755,0.00358234429796889,0,0,0,0,0.00209329757170471,0,0,0.00231658264601988,0,0,0,0.00183855765557134,0.00361966038440607,0,0,0.00482621384587476,0.00902564667280474,0.00371644274762548,0,0,0,0.00181930574294755,0,0.00100429883497972,0.00213182452087719,0,0.0030216295382868,0.00209329757170471,0,0,0,0,0,0,0,0.00361966038440607,0,0.00280231771695954,0,0,0,0.0087971492886831,0.00584012431769719
"能源",0.00352261314329828,0,0,0,0,0,0,0,0,0,0,0.0186698496594809,0.00727396739979775,0,0,0.00455362186816607,0,0.00957428187665686,0,0,0,0,0.00918189327515453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00402946395528364,0,0,0,0,0.0120450642964393,0,0.0560095489784426,0.00615489549213655,0,0,0,0,0,0,0.00718071140749265,0,0.0113532869550897,0,0,0.00543782028916919,0,0.00727396739979775,0,0,0.00227681093408303,0.00495659725472944,0,0.0120450642964393,0,0.0560095489784426,0,0.00459094663757727
"退步",0.0125091774880085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
